Enrollmentno,sub1,sub2,sub3,sub4,sub5
E0259,41,80,87,69,93
E0260,58,48,69,54,51
E0261,91,42,91,91,77
E0262,40,57,70,98,46
E0263,83,62,72,62,93
E0264,95,41,80,93,82
E0265,66,42,82,85,46
E0266,59,86,91,59,65
E0267,62,75,86,62,97
E0268,87,54,74,80,71
E0269,54,72,53,81,49
E0270,48,55,68,74,91
E0271,99,83,64,93,50
E0272,50,88,89,46,65
E0273,76,87,66,64,74
E0274,89,54,45,44,49
E0275,53,98,64,84,51
E0276,100,40,90,84,77
E0277,63,69,93,72,80
E0278,49,100,69,81,87
E0279,70,53,67,66,70
E0280,66,67,69,86,63
E0281,66,77,88,72,99
E0282,100,59,78,96,72
E0283,51,54,70,80,54
E0284,85,98,75,68,45
E0285,71,99,92,98,44
E0286,96,64,86,61,99
E0287,75,96,76,46,50
E0288,63,55,93,81,65
E0289,76,94,42,96,67
E0290,53,47,76,86,45
E0291,77,86,72,68,43
E0292,70,61,64,57,54
E0293,80,59,69,87,62
E0294,89,71,48,56,68
E0295,76,55,42,93,62
E0296,68,42,63,86,93
E0297,71,50,73,62,68
E0298,49,81,40,94,51
E0299,65,42,96,57,99
E0300,45,54,52,75,65
E0301,69,62,63,91,64
E0302,48,87,83,51,99
E0303,58,64,75,78,58
E0304,65,84,91,97,75
E0305,92,86,87,72,86
E0306,57,72,58,74,62
E0307,59,91,44,52,60
E0308,71,75,98,76,60
E0309,78,94,70,42,80
E0310,40,55,63,98,84
E0311,57,74,66,41,63
E0312,80,76,80,52,95
E0313,60,83,46,69,49
E0314,88,97,86,69,79
E0315,52,98,96,72,95
E0316,69,60,80,93,58
E0317,52,56,67,46,74
E0318,53,68,90,88,70
E0319,93,97,52,69,90
E0320,83,100,44,62,61
E0321,89,98,90,93,70
E0322,60,99,59,78,58
E0323,50,61,69,45,78
E0324,74,73,47,61,97
E0325,52,57,93,82,91
E0326,47,88,61,83,67
E0327,40,41,72,57,48
E0328,93,49,91,43,89
E0329,83,81,41,79,86
E0330,85,50,62,74,86
E0331,65,40,80,52,54
E0332,90,45,93,56,70
E0333,74,74,41,66,47
E0334,84,84,97,40,86
E0335,75,68,59,89,88
E0336,88,45,58,88,70
E0337,55,99,66,100,61
E0338,51,40,97,56,75
E0339,76,46,50,92,73
E0340,89,53,42,69,87
E0341,67,49,71,59,83
E0342,82,75,46,62,56
E0343,46,68,71,47,82
E0344,75,65,70,69,92
E0345,86,40,55,50,82
E0346,40,57,70,41,80
E0347,74,53,68,51,77
E0348,51,97,97,99,90
E0349,50,78,91,63,74
E0350,64,66,52,100,61
E0351,59,63,44,67,70
E0352,94,58,73,45,51
E0353,48,100,96,55,83
E0354,91,56,49,54,99
E0355,92,59,86,48,99
E0356,86,74,56,97,71
E0357,81,80,60,82,51
E0358,56,76,75,40,95
E0359,67,66,85,80,100
E0360,88,53,50,67,53
E0361,75,69,65,41,73
E0362,81,100,43,100,67
E0363,82,60,75,75,100
E0364,63,81,80,64,51
E0365,48,62,49,96,97
E0366,64,90,41,49,79
E0367,96,44,72,43,79
E0368,74,64,82,83,66
E0369,48,64,57,45,86
E0370,84,96,61,65,93
E0371,81,42,60,72,80
E0372,62,54,55,70,97
E0373,71,71,52,71,97
E0374,88,85,41,62,93
E0375,78,59,66,80,55
E0376,40,87,86,95,91
E0377,94,77,98,40,71
E0378,70,60,41,58,87
E0379,48,81,52,77,95
E0380,50,57,40,91,45
E0381,73,56,96,64,91
E0382,70,42,46,94,83
E0383,70,54,98,82,96
E0384,91,54,57,94,77
E0385,47,58,85,71,53
E0386,40,46,59,48,44
E0387,68,63,67,68,96
E0388,70,95,87,61,68
E0389,72,67,53,56,68
E0390,96,91,96,67,50
E0391,75,43,41,42,53
E0392,50,50,43,67,75
E0393,62,40,40,83,57
E0394,82,63,77,82,73
E0395,63,66,58,59,80
E0396,73,43,80,79,90
E0397,76,60,46,52,69
E0398,68,52,67,99,54
E0399,100,85,86,84,75
E0400,96,99,94,92,79
E0401,54,67,83,97,41
E0402,91,46,85,41,92
E0403,53,44,55,85,46
E0404,78,100,76,44,87
E0405,47,70,80,71,59
E0406,53,83,54,72,53
E0407,57,65,81,87,49
E0408,42,68,96,48,46
E0409,98,83,99,81,59
E0410,42,68,42,62,41
E0411,44,68,44,57,78
E0412,69,42,42,98,99
E0413,67,84,53,82,82
E0414,93,65,92,77,90
E0415,98,86,74,62,68
E0416,77,42,89,52,88
E0417,51,79,86,46,98
E0418,97,56,77,69,80
E0419,98,88,79,66,85
E0420,86,61,83,53,91
E0421,100,100,57,70,64
E0422,76,40,77,61,83
E0423,94,90,86,90,67
E0424,59,62,57,77,72
E0425,77,83,84,100,61
E0426,59,86,84,93,80
E0427,67,71,66,77,60
E0428,99,64,88,80,89
E0429,50,44,63,57,51
E0430,48,71,80,86,44
E0431,67,70,62,43,79
E0432,62,91,74,46,85
E0433,62,95,53,82,81
E0434,63,91,72,57,89
E0435,95,75,97,49,99
E0436,54,97,73,54,60
E0437,49,68,90,64,47
E0438,45,86,72,75,46
E0439,91,84,68,80,44
E0440,86,67,93,47,88
E0441,44,61,55,73,64
E0442,95,75,92,53,95
E0443,96,93,71,74,85
E0444,44,92,69,74,74
E0445,89,55,90,99,63
E0446,62,58,60,50,78
E0447,44,91,85,73,86
E0448,65,57,63,81,76
E0449,95,59,66,89,84
E0450,64,63,49,67,88
E0451,94,81,85,47,88
E0452,66,61,65,55,46
E0453,42,74,43,66,45
E0454,98,67,73,65,93
E0455,61,83,43,64,65
E0456,56,90,63,83,81
E0457,66,65,55,40,98
E0458,66,61,71,40,77
E0459,70,52,88,80,94
E0460,73,89,47,100,59
E0461,58,91,84,99,84
E0462,75,86,94,88,61
E0463,100,54,85,65,90
E0464,50,82,69,52,68
E0465,71,85,46,97,40
E0466,54,92,57,66,57
E0467,95,94,64,61,88
E0468,95,57,92,44,79
E0469,42,56,75,61,77
E0470,93,67,69,67,100
E0471,68,93,59,59,78
E0472,94,90,63,53,70
E0473,92,97,79,87,45
E0474,61,92,80,94,68
E0475,76,98,50,67,51
E0476,53,73,79,64,74
E0477,88,81,47,92,63
E0478,55,95,65,43,67
E0479,43,80,74,55,69
E0480,80,64,40,42,79
E0481,71,65,94,94,79
E0482,60,89,55,96,92
E0483,53,63,85,60,55
E0484,64,61,89,72,77
E0485,43,99,48,49,83
E0486,79,88,66,50,76
E0487,44,49,69,84,69
E0488,81,86,78,88,86
E0489,93,85,40,49,79
E0490,72,100,62,89,65
E0491,91,49,50,76,68
E0492,71,41,46,95,56
E0493,93,92,98,70,88
E0494,45,82,96,56,73
E0495,65,92,86,79,50
E0496,77,71,81,63,86
E0497,65,44,95,74,87
E0498,49,72,92,49,66
E0499,89,56,83,67,94
E0500,67,66,80,58,45
E0501,70,81,55,45,67
E0502,95,100,68,41,42
E0503,84,59,100,42,60
E0504,95,52,91,53,91
E0505,86,69,72,73,90
E0506,90,82,53,47,95
E0507,58,94,95,49,44
E0508,97,77,59,47,46
E0509,48,83,68,85,44
E0510,44,78,72,69,55
E0511,79,91,47,40,96
E0512,61,100,86,63,82
E0513,85,73,98,94,65
E0514,52,59,85,100,41
E0515,71,78,63,83,71
E0516,63,41,49,77,63
E0517,44,89,100,65,100
E0518,64,70,57,46,78
E0519,100,60,66,49,42
E0520,75,60,93,88,48
E0521,58,51,43,64,56
E0522,80,73,47,64,99
E0523,79,60,76,77,74
E0524,90,50,45,60,55
E0525,93,91,84,65,72
E0526,64,56,54,45,79
E0527,52,40,97,87,60
E0528,65,59,67,75,66
E0529,58,78,97,49,60
E0530,91,51,96,95,41
E0531,73,91,81,65,98
E0532,70,64,97,44,55
E0533,56,85,73,82,41
E0534,64,46,74,92,70
E0535,85,58,95,91,51
E0536,95,84,77,66,66
E0537,81,72,71,56,79
E0538,92,84,64,85,60
E0539,97,47,58,79,70
E0540,46,84,62,42,69
E0541,59,72,50,63,59
E0542,70,78,92,43,46
E0543,92,92,56,67,54
E0544,91,47,63,52,72
E0545,59,100,46,44,77
E0546,82,57,53,79,43
E0547,49,85,57,94,64
E0548,47,66,88,97,75
E0549,61,99,100,81,82
E0550,79,58,85,88,43
E0551,80,59,95,46,80
E0552,85,53,96,44,40
E0553,52,98,61,53,55
E0554,67,55,55,55,82
E0555,77,40,80,48,50
E0556,59,93,67,73,56
E0557,40,55,98,91,48
E0558,76,78,60,43,93
E0559,56,49,68,67,84
E0560,64,87,57,56,66
E0561,48,81,89,58,44
E0562,84,91,95,48,86
E0563,48,94,45,64,69
E0564,88,82,81,98,77
E0565,80,49,85,67,99
E0566,43,51,69,46,74
E0567,92,41,91,49,98
E0568,41,87,72,80,92
E0569,81,72,48,58,83
E0570,68,69,44,51,92
E0571,59,93,58,55,90
E0572,79,99,65,41,91
E0573,55,87,88,98,84
E0574,60,47,79,60,95
E0575,57,58,47,71,51
E0576,66,84,41,90,73
E0577,82,68,63,80,97
E0578,100,63,85,88,98
E0579,88,77,97,43,59
E0580,94,92,59,79,95
E0581,41,80,66,41,82
E0582,100,56,59,84,74
E0583,51,77,91,74,59
E0584,90,76,97,51,91
E0585,93,67,72,58,52
E0586,95,50,73,41,75
E0587,48,44,77,91,66
E0588,58,85,84,77,93
E0589,64,81,81,61,42
E0590,76,42,90,61,91
E0591,97,59,93,52,94
E0592,60,71,79,58,40
E0593,64,91,94,43,98
E0594,60,80,70,50,100
E0595,53,99,49,91,89
E0596,92,86,80,87,58
E0597,66,49,61,72,98
E0598,85,82,79,76,93
E0599,51,94,95,49,52
E0600,87,43,43,86,100
E0601,71,80,95,60,84
E0602,41,65,90,52,65
E0603,61,67,48,70,74
E0604,89,80,58,68,58
E0605,64,82,73,53,50
E0606,66,71,73,100,87
E0607,71,62,62,86,72
E0608,40,43,82,80,74
E0609,47,80,96,81,75
E0610,61,54,65,74,71
E0611,93,79,44,54,60
E0612,62,71,60,88,63
E0613,97,68,63,94,78
E0614,93,52,52,88,73
E0615,66,91,46,50,100
E0616,56,70,60,85,58
E0617,81,45,50,84,78
E0618,85,81,96,94,68
E0619,52,55,70,45,49
E0620,76,94,75,91,74
E0621,75,56,60,47,85
E0622,81,52,68,68,70
E0623,90,98,47,63,76
E0624,70,81,58,71,51
E0625,82,85,78,76,68
E0626,44,83,70,87,69
E0627,54,65,92,95,93
E0628,50,47,87,91,64
E0629,52,64,65,86,76
E0630,93,54,50,74,73
E0631,65,82,40,51,91
E0632,76,49,51,48,71
E0633,64,75,92,41,63
E0634,89,93,53,54,62
E0635,51,65,50,78,58
E0636,62,42,46,96,98
E0637,67,55,97,96,40
E0638,58,88,40,83,77
E0639,90,53,77,46,50
E0640,90,68,81,87,87
E0641,91,80,46,88,76
E0642,78,42,62,93,81
E0643,92,47,59,64,95
E0644,71,73,56,61,66
E0645,86,99,48,95,87
E0646,92,57,92,59,93
E0647,90,85,70,90,55
E0648,54,84,55,92,98
E0649,70,90,83,92,87
E0650,81,96,50,70,71
E0651,64,44,44,62,79
E0652,77,46,47,99,88
E0653,71,43,60,73,47
E0654,63,64,54,80,69
E0655,78,98,89,83,59
E0656,71,59,87,90,48
E0657,76,91,76,54,59
E0658,62,82,58,87,74
E0659,93,97,64,64,57
E0660,95,99,71,86,47
E0661,43,95,70,59,44
E0662,41,59,86,83,64
E0663,81,88,84,48,96
E0664,85,49,80,89,98
E0665,68,100,40,53,68
E0666,83,99,84,62,90
E0667,54,68,96,42,68
E0668,74,80,95,70,71
E0669,73,66,87,90,58
E0670,87,81,50,59,90
E0671,72,73,65,62,60
E0672,45,81,68,92,56
E0673,64,49,98,62,93
E0674,80,96,61,91,88
E0675,62,52,75,76,65
E0676,97,61,90,52,97
E0677,53,50,85,48,61
E0678,92,68,60,58,52
E0679,92,62,71,88,98
E0680,43,64,54,61,46
E0681,57,83,93,51,73
E0682,51,87,61,48,44
E0683,40,78,75,83,61
E0684,49,98,80,50,70
E0685,60,71,46,65,54
E0686,81,55,44,82,79
E0687,85,66,51,44,78
E0688,62,90,51,90,67
E0689,71,52,83,89,99
E0690,93,71,70,62,94
E0691,70,48,87,61,44
E0692,52,73,51,91,78
E0693,55,93,46,86,84
E0694,67,52,95,83,99
E0695,79,58,56,99,54
E0696,65,66,87,98,49
E0697,92,77,76,77,65
E0698,93,76,57,42,72
E0699,63,53,82,54,40
E0700,73,46,75,79,85
E0701,97,77,97,49,54
E0702,50,61,95,69,70
E0703,74,82,95,65,63
E0704,80,96,87,64,91
E0705,40,82,64,93,59
E0706,83,72,53,66,50
E0707,65,57,52,43,44
E0708,90,87,62,67,45
E0709,93,79,85,97,61
E0710,57,88,56,73,53
E0711,65,71,80,63,54
E0712,67,100,63,81,96
E0713,69,46,66,64,95
E0714,60,61,74,64,44
E0715,43,72,83,58,73
E0716,96,98,49,100,83
E0717,76,52,57,89,81
E0718,75,96,52,97,99
E0719,97,87,66,69,44
E0720,64,89,63,41,84
E0721,99,81,71,99,43
E0722,62,69,91,94,43
E0723,64,74,99,91,96
E0724,60,41,55,90,65
E0725,49,63,81,80,94
E0726,54,87,60,83,88
E0727,53,56,58,94,93
E0728,48,81,91,49,61
E0729,72,66,41,96,81
E0730,76,47,42,48,45
E0731,57,97,44,42,97
E0732,83,73,46,80,66
E0733,87,40,88,87,71
E0734,41,55,73,78,48
E0735,50,46,67,94,64
E0736,70,75,77,67,48
E0737,56,75,87,45,65
E0738,49,78,52,48,100
E0739,74,65,78,96,70
E0740,79,93,77,89,95
E0741,41,97,52,41,91
E0742,76,50,75,56,68
E0743,42,51,77,78,100
E0744,61,97,41,73,76
E0745,41,84,92,83,92
E0746,92,88,70,46,80
E0747,64,60,75,73,75
E0748,62,57,55,67,89
E0749,55,94,59,81,85
E0750,60,80,87,99,88
E0751,41,89,54,45,86
E0752,71,74,82,52,61
E0753,46,47,58,61,74
E0754,94,71,73,63,99
E0755,41,85,89,50,54
E0756,83,75,42,57,70
E0757,61,84,43,45,65
E0758,44,41,86,77,71
E0759,42,42,40,50,40
E0760,70,56,52,62,80
E0761,53,41,42,99,55
E0762,73,64,93,84,68
E0763,64,47,98,67,60
E0764,86,60,90,73,68
E0765,53,99,64,98,79
E0766,72,60,90,87,67
E0767,60,65,55,62,60
E0768,97,70,62,40,75
E0769,93,45,80,91,79
E0770,62,77,54,79,72
E0771,98,72,46,61,46
E0772,42,53,67,43,51
E0773,44,84,83,65,92
E0774,79,69,68,75,64
E0775,48,70,57,72,91
E0776,90,91,66,59,53
E0777,72,43,81,46,86
E0778,46,52,53,41,47
E0779,49,84,98,54,97
E0780,44,92,54,78,81
E0781,49,42,66,42,58
E0782,40,65,43,58,70
E0783,98,67,57,80,76
E0784,46,45,82,52,46
E0785,60,90,66,64,82
E0786,86,43,74,70,58
E0787,85,77,58,47,74
E0788,42,98,46,80,78
E0789,100,84,68,48,47
E0790,89,64,40,45,59
E0791,60,79,56,73,67
E0792,83,87,88,92,42
E0793,85,53,78,56,73
E0794,48,84,59,77,72
E0795,95,77,91,53,95
E0796,81,78,91,78,67
E0797,65,96,77,48,71
E0798,57,87,44,77,84
E0799,95,49,46,84,72
E0800,76,46,69,83,79
E0801,76,67,73,91,71
E0802,80,53,40,92,92
E0803,72,52,81,75,42
E0804,77,65,58,89,73
E0805,51,90,85,66,41
E0806,57,98,61,45,81
E0807,70,94,89,53,93
E0808,61,75,51,55,57
E0809,77,68,96,72,92
E0810,92,88,69,80,85
E0811,44,58,90,97,78
E0812,59,90,67,94,72
E0813,47,64,83,82,51
E0814,58,70,94,41,96
E0815,41,68,86,43,75
E0816,98,42,47,89,92
E0817,83,40,98,57,77
E0818,73,79,94,57,61
E0819,86,49,87,99,59
E0820,40,59,99,95,58
E0821,43,83,83,75,50
E0822,46,44,52,54,46
E0823,96,86,75,47,41
E0824,49,65,56,44,62
E0825,57,60,78,48,40
E0826,88,88,71,73,91
E0827,98,100,58,56,45
E0828,51,78,72,94,54
E0829,82,94,93,96,92
E0830,92,48,64,93,71
E0831,60,86,58,87,59
E0832,40,98,94,88,84
E0833,53,82,60,99,47
E0834,89,76,78,93,72
E0835,69,42,100,77,71
E0836,49,93,87,47,44
E0837,43,67,85,56,53
E0838,42,86,90,62,45
E0839,59,46,86,87,86
E0840,81,44,44,51,83
E0841,40,59,90,43,93
E0842,56,42,95,85,60
E0843,54,60,73,83,61
E0844,54,81,62,59,73
E0845,98,75,83,73,95
E0846,99,93,61,97,40
E0847,89,89,45,100,41
E0848,46,54,77,79,42
E0849,65,81,64,82,97
E0850,75,53,65,73,87
E0851,78,94,49,60,60
E0852,49,44,88,99,88
E0853,61,70,92,78,49
E0854,89,45,86,72,77
E0855,83,42,100,73,99
E0856,46,50,47,53,82
E0857,67,52,85,87,94
E0858,74,45,85,93,68
E0859,73,67,48,68,47
E0860,87,64,58,53,85
E0861,62,93,67,46,49
E0862,66,93,68,83,83
E0863,78,55,71,41,51
E0864,86,87,48,83,61
E0865,78,90,88,56,84
E0866,90,71,75,77,91
E0867,62,57,96,79,45
E0868,48,91,87,100,46
E0869,52,94,63,71,90
E0870,79,85,86,54,74
E0871,64,55,88,68,82
E0872,96,55,97,62,41
E0873,52,83,98,47,40
E0874,94,80,54,65,55
E0875,42,77,65,45,61
E0876,53,59,57,84,78
E0877,97,49,53,70,46
E0878,100,61,59,79,100
E0879,42,85,40,54,77
E0880,42,68,70,100,59
E0881,40,98,40,53,72
E0882,51,60,65,50,72
E0883,74,67,94,59,66
E0884,90,45,59,49,64
E0885,93,91,56,91,90
E0886,63,52,86,99,81
E0887,96,86,93,46,71
E0888,43,59,44,79,80
E0889,74,44,77,58,99
E0890,44,93,75,80,75
E0891,62,76,56,96,91
E0892,43,70,43,76,72
E0893,72,92,69,64,80
E0894,75,79,85,96,54
E0895,76,90,82,94,97
E0896,44,83,46,52,90
E0897,94,70,84,86,72
E0898,47,91,85,86,97
E0899,43,99,89,54,76
E0900,66,40,93,90,95
E0901,75,86,59,85,67
E0902,63,57,76,100,64
E0903,97,83,80,49,49
E0904,44,50,65,87,74
E0905,56,43,67,96,59
E0906,59,92,96,70,67
E0907,53,61,85,79,88
E0908,94,89,70,85,82
E0909,92,77,47,49,81
E0910,50,74,84,94,92
E0911,72,44,94,46,85
E0912,78,48,92,48,66
E0913,54,64,74,79,41
E0914,73,91,61,85,77
E0915,43,52,69,50,66
E0916,76,94,45,42,77
E0917,78,68,75,82,62
E0918,61,75,89,97,66
E0919,44,54,98,76,75
E0920,66,81,100,59,96
E0921,53,90,85,96,82
E0922,59,91,91,75,96
E0923,53,94,99,82,70
E0924,47,59,63,56,67
E0925,82,63,62,86,82
E0926,87,47,45,47,71
E0927,69,53,48,92,76
E0928,68,84,100,49,93
E0929,50,43,59,55,84
E0930,60,88,54,53,95
E0931,72,49,70,86,40
E0932,93,87,82,56,54
E0933,72,52,68,53,93
E0934,89,92,69,76,99
E0935,57,54,49,93,48
E0936,41,47,83,53,73
E0937,92,60,96,57,85
E0938,51,49,96,42,92
E0939,85,78,88,96,99
E0940,68,57,93,53,98
E0941,41,100,58,42,55
E0942,89,72,49,100,59
E0943,51,86,43,40,54
E0944,43,98,74,54,44
E0945,50,63,79,68,57
E0946,56,77,91,55,45
E0947,69,77,42,74,65
E0948,76,48,44,63,83
E0949,72,91,83,73,43
E0950,79,57,49,77,72
E0951,100,69,76,56,87
E0952,72,51,78,90,65
E0953,58,43,77,54,58
E0954,61,71,100,61,79
E0955,52,74,65,58,72
E0956,91,58,58,70,44
E0957,81,77,57,67,51
E0958,89,88,92,73,60
E0959,62,82,84,89,95
E0960,42,63,59,85,43
E0961,85,73,87,71,62
E0962,94,47,66,93,48
E0963,52,61,71,57,88
E0964,63,79,81,74,53
E0965,95,85,80,77,71
E0966,55,48,60,63,96
E0967,62,77,83,84,59
E0968,59,87,84,56,76
E0969,72,55,100,68,54
E0970,87,93,74,86,54
E0971,74,50,77,93,92
E0972,76,74,91,58,54
E0973,85,74,72,69,53
E0974,75,43,75,60,83
E0975,72,65,61,85,71
E0976,85,68,43,44,83
E0977,74,73,49,73,62
E0978,66,52,100,70,95
E0979,81,49,84,84,78
E0980,47,60,52,80,57
E0981,64,57,96,46,54
E0982,71,94,76,98,78
E0983,98,58,53,48,69
E0984,92,64,64,94,46
E0985,82,58,74,100,83
E0986,90,91,79,45,99
E0987,88,55,80,41,99
E0988,51,82,96,40,57
E0989,76,94,97,66,50
E0990,62,72,89,66,95
E0991,82,74,43,45,65
E0992,58,94,64,83,80
E0993,71,67,94,74,76
E0994,84,84,89,93,54
E0995,58,49,86,55,86
E0996,92,87,68,62,47
