Enrollmentno,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
E0013,C0047-CSE,C0033-CSE,C0027-IT,C0026-IT,C0032-CSE,C0029-CSE,C0012-CSE,C0040-IT,C0028-IT,C0005-CSE
E0014,C0025-IT,C0050-CSE,C0014-CSE,C0047-CSE,C0028-CSE,C0008-IT,C0028-CSE,C0005-CSE,C0033-IT,C0034-IT
E0015,C0036-EE,C0013-EE,C0044-EE,C0031-EC,C0027-EE,C0010-EE,C0034-EE,C0003-EC,C0034-EE,C0032-EC
E0016,C0040-CH,C0048-CIVIL,C0010-CIVIL,C0013-CH,C0046-CIVIL,C0049-CIVIL,C0043-CIVIL,C0041-CIVIL,C0041-CH,C0006-CH
E0017,C0013-CH,C0046-CIVIL,C0046-CIVIL,C0026-CIVIL,C0037-CIVIL,C0030-CIVIL,C0009-CH,C0016-CIVIL,C0005-CH,C0023-CIVIL
E0018,C0019-CSE,C0006-CSE,C0048-IT,C0006-CSE,C0029-CSE,C0045-IT,C0032-IT,C0050-CSE,C0005-IT,C0001-IT
E0019,C0007-CSE,C0047-CSE,C0039-IT,C0018-CSE,C0028-IT,C0034-CSE,C0006-CSE,C0011-IT,C0039-CSE,C0025-IT
E0020,C0035-CIVIL,C0042-CIVIL,C0016-CIVIL,C0046-CH,C0001-CIVIL,C0042-CIVIL,C0008-CH,C0041-CH,C0035-CIVIL,C0026-CIVIL
E0021,C0008-CH,C0046-CH,C0048-CIVIL,C0036-CH,C0009-CH,C0010-CH,C0038-CIVIL,C0030-CH,C0016-CIVIL,C0030-CH
E0022,C0016-AUTO,C0016-IC,C0048-IC,C0043-ME,C0026-AUTO,C0044-IC,C0011-AUTO,C0005-IC,C0034-ME,C0021-AUTO
E0023,C0049-AUTO,C0041-ME,C0050-AUTO,C0007-AUTO,C0041-AUTO,C0012-IC,C0041-IC,C0030-IC,C0024-ME,C0015-ME
E0024,C0002-IT,C0047-CSE,C0020-IT,C0022-IT,C0031-CSE,C0007-IT,C0002-IT,C0031-CSE,C0044-IT,C0003-IT
E0025,C0049-EC,C0025-EC,C0047-EE,C0017-EE,C0040-EE,C0040-EE,C0017-EC,C0013-EE,C0038-EC,C0031-EC
E0026,C0018-EC,C0014-EE,C0015-EC,C0032-EC,C0046-EE,C0016-EE,C0009-EE,C0045-EE,C0017-EC,C0016-EE
E0027,C0017-IT,C0022-CSE,C0030-CSE,C0007-IT,C0009-IT,C0019-IT,C0030-CSE,C0033-IT,C0004-CSE,C0016-IT
E0028,C0022-CH,C0008-CIVIL,C0013-CH,C0030-CH,C0004-CIVIL,C0042-CH,C0035-CH,C0001-CIVIL,C0050-CH,C0036-CH
E0029,C0025-CH,C0044-CIVIL,C0004-CIVIL,C0029-CH,C0007-CIVIL,C0003-CH,C0004-CH,C0013-CH,C0003-CH,C0043-CIVIL
E0030,C0011-CH,C0024-CIVIL,C0009-CIVIL,C0013-CH,C0036-CIVIL,C0032-CIVIL,C0019-CIVIL,C0020-CH,C0013-CIVIL,C0017-CH
E0031,C0026-AUTO,C0040-ME,C0047-ME,C0022-IC,C0019-IC,C0024-AUTO,C0047-AUTO,C0043-AUTO,C0022-IC,C0044-ME
E0032,C0044-IC,C0009-ME,C0013-IC,C0001-AUTO,C0005-IC,C0027-IC,C0001-AUTO,C0009-IC,C0039-AUTO,C0017-AUTO
E0033,C0049-CIVIL,C0005-CH,C0011-CH,C0010-CIVIL,C0033-CH,C0036-CH,C0015-CIVIL,C0049-CIVIL,C0033-CH,C0040-CH
E0034,C0047-EE,C0017-EE,C0041-EE,C0039-EC,C0015-EC,C0044-EE,C0009-EE,C0049-EE,C0037-EC,C0021-EC
E0035,C0001-IT,C0032-CSE,C0021-IT,C0015-IT,C0049-IT,C0020-IT,C0032-IT,C0012-IT,C0049-IT,C0013-CSE
E0036,C0030-ME,C0039-IC,C0009-IC,C0047-AUTO,C0031-ME,C0034-ME,C0016-IC,C0027-ME,C0015-AUTO,C0030-ME
E0037,C0048-IT,C0039-CSE,C0039-CSE,C0044-CSE,C0003-IT,C0018-CSE,C0024-IT,C0012-CSE,C0021-CSE,C0022-CSE
E0038,C0038-CIVIL,C0040-CH,C0038-CIVIL,C0019-CH,C0038-CH,C0045-CH,C0029-CH,C0019-CH,C0004-CH,C0021-CH
E0039,C0017-CIVIL,C0018-CH,C0012-CH,C0044-CIVIL,C0050-CIVIL,C0029-CH,C0035-CH,C0038-CH,C0035-CH,C0038-CIVIL
E0040,C0006-IT,C0036-CSE,C0034-CSE,C0033-CSE,C0011-IT,C0030-CSE,C0001-CSE,C0038-CSE,C0042-CSE,C0039-IT
E0041,C0042-EC,C0025-EC,C0050-EC,C0025-EE,C0021-EC,C0041-EE,C0042-EC,C0003-EE,C0004-EE,C0038-EE
E0042,C0032-EC,C0041-EC,C0035-EC,C0003-EC,C0003-EC,C0016-EC,C0007-EC,C0027-EE,C0012-EE,C0017-EE
E0043,C0018-CSE,C0021-CSE,C0035-IT,C0039-CSE,C0009-IT,C0023-CSE,C0010-CSE,C0031-CSE,C0022-IT,C0004-IT
E0044,C0015-IT,C0042-CSE,C0022-CSE,C0022-IT,C0020-CSE,C0040-IT,C0044-CSE,C0041-CSE,C0042-IT,C0030-CSE
E0045,C0026-CIVIL,C0041-CIVIL,C0049-CH,C0035-CH,C0006-CH,C0009-CH,C0041-CH,C0042-CIVIL,C0005-CH,C0049-CIVIL
E0046,C0016-AUTO,C0030-IC,C0019-ME,C0035-AUTO,C0029-AUTO,C0043-IC,C0032-ME,C0037-IC,C0030-IC,C0024-ME
E0047,C0041-AUTO,C0029-AUTO,C0035-AUTO,C0006-ME,C0041-AUTO,C0038-AUTO,C0042-IC,C0013-ME,C0022-ME,C0042-ME
E0048,C0011-EC,C0001-EC,C0050-EE,C0017-EE,C0007-EC,C0026-EE,C0003-EC,C0001-EC,C0043-EE,C0041-EC
E0049,C0050-IT,C0019-IT,C0045-IT,C0050-CSE,C0007-IT,C0036-IT,C0038-IT,C0033-CSE,C0049-IT,C0049-IT
E0050,C0008-IC,C0049-IC,C0026-AUTO,C0028-ME,C0036-AUTO,C0005-AUTO,C0046-IC,C0023-ME,C0047-ME,C0010-IC
E0051,C0034-AUTO,C0046-IC,C0023-AUTO,C0040-ME,C0016-ME,C0030-IC,C0044-AUTO,C0049-IC,C0018-AUTO,C0017-ME
E0052,C0032-EC,C0018-EE,C0035-EC,C0027-EC,C0027-EC,C0025-EE,C0041-EE,C0016-EC,C0039-EC,C0010-EE
E0053,C0019-ME,C0025-ME,C0007-AUTO,C0039-IC,C0041-AUTO,C0043-AUTO,C0015-IC,C0025-ME,C0046-ME,C0031-IC
E0054,C0021-ME,C0043-AUTO,C0022-AUTO,C0045-IC,C0010-IC,C0021-IC,C0009-AUTO,C0021-ME,C0049-ME,C0001-AUTO
E0055,C0013-EE,C0011-EC,C0013-EE,C0009-EE,C0047-EE,C0024-EE,C0026-EC,C0050-EC,C0025-EE,C0003-EE
E0056,C0021-ME,C0005-ME,C0031-ME,C0007-AUTO,C0031-ME,C0003-ME,C0029-ME,C0043-AUTO,C0036-AUTO,C0040-IC
E0057,C0011-EE,C0049-EC,C0005-EE,C0035-EE,C0023-EE,C0013-EE,C0037-EE,C0015-EE,C0040-EC,C0027-EC
E0058,C0041-IC,C0033-ME,C0044-AUTO,C0001-AUTO,C0029-IC,C0009-AUTO,C0013-ME,C0007-AUTO,C0012-IC,C0019-ME
E0059,C0026-EE,C0024-EE,C0032-EE,C0037-EC,C0013-EC,C0046-EC,C0049-EE,C0033-EC,C0018-EE,C0012-EE
E0060,C0012-AUTO,C0015-ME,C0015-AUTO,C0023-ME,C0028-ME,C0002-IC,C0031-IC,C0032-ME,C0006-IC,C0019-ME
E0061,C0029-IT,C0032-IT,C0036-CSE,C0033-IT,C0013-CSE,C0034-IT,C0008-IT,C0040-IT,C0020-IT,C0011-IT
E0062,C0014-CSE,C0033-CSE,C0044-IT,C0050-IT,C0048-IT,C0014-IT,C0040-CSE,C0027-IT,C0043-IT,C0007-IT
E0063,C0035-ME,C0018-AUTO,C0032-AUTO,C0042-AUTO,C0021-AUTO,C0032-ME,C0021-AUTO,C0042-IC,C0029-ME,C0012-IC
E0064,C0013-CSE,C0008-CSE,C0043-IT,C0047-CSE,C0032-CSE,C0046-IT,C0043-IT,C0021-CSE,C0022-CSE,C0005-CSE
E0065,C0030-EC,C0014-EC,C0034-EC,C0036-EE,C0047-EE,C0046-EE,C0013-EC,C0046-EE,C0018-EC,C0022-EC
E0066,C0044-IT,C0030-CSE,C0011-CSE,C0039-IT,C0004-CSE,C0021-IT,C0019-CSE,C0048-IT,C0024-CSE,C0042-CSE
E0067,C0018-EE,C0031-EC,C0049-EE,C0037-EC,C0011-EE,C0007-EE,C0008-EC,C0016-EC,C0023-EE,C0011-EE
E0068,C0029-CSE,C0006-IT,C0038-IT,C0004-CSE,C0044-CSE,C0048-IT,C0035-IT,C0027-IT,C0020-IT,C0025-IT
E0069,C0010-IC,C0024-AUTO,C0047-IC,C0035-AUTO,C0024-AUTO,C0017-ME,C0030-ME,C0013-AUTO,C0022-ME,C0028-ME
E0070,C0021-EC,C0017-EE,C0031-EE,C0035-EC,C0003-EE,C0029-EE,C0009-EC,C0013-EC,C0041-EE,C0037-EE
E0071,C0032-EE,C0011-EC,C0015-EC,C0013-EC,C0030-EE,C0049-EC,C0008-EC,C0001-EC,C0023-EE,C0040-EE
E0072,C0026-IT,C0008-CSE,C0034-CSE,C0047-CSE,C0028-IT,C0008-IT,C0049-IT,C0028-CSE,C0041-CSE,C0032-IT
E0073,C0008-IC,C0048-IC,C0005-ME,C0019-IC,C0006-AUTO,C0050-IC,C0011-IC,C0022-IC,C0021-ME,C0044-AUTO
E0074,C0005-CH,C0038-CH,C0029-CH,C0034-CIVIL,C0008-CH,C0021-CH,C0005-CH,C0036-CH,C0012-CH,C0012-CH
E0075,C0050-CH,C0043-CIVIL,C0013-CIVIL,C0001-CIVIL,C0019-CIVIL,C0018-CH,C0023-CH,C0012-CIVIL,C0018-CH,C0006-CIVIL
E0076,C0017-CIVIL,C0009-CIVIL,C0039-CH,C0016-CIVIL,C0027-CIVIL,C0033-CIVIL,C0039-CH,C0045-CH,C0040-CIVIL,C0008-CH
E0077,C0038-CH,C0005-CH,C0020-CIVIL,C0048-CH,C0038-CH,C0011-CH,C0009-CIVIL,C0026-CH,C0019-CH,C0003-CH
E0078,C0021-CH,C0008-CIVIL,C0021-CH,C0041-CH,C0010-CH,C0006-CIVIL,C0038-CH,C0036-CIVIL,C0044-CH,C0002-CH
E0079,C0036-IT,C0034-IT,C0046-IT,C0032-IT,C0042-IT,C0030-CSE,C0042-IT,C0028-IT,C0028-CSE,C0036-IT
E0080,C0015-IT,C0014-CSE,C0039-IT,C0007-CSE,C0037-CSE,C0036-IT,C0044-CSE,C0050-CSE,C0006-CSE,C0039-CSE
E0081,C0038-EE,C0025-EC,C0009-EC,C0032-EC,C0036-EE,C0042-EC,C0043-EC,C0029-EE,C0004-EE,C0031-EC
E0082,C0002-IC,C0021-ME,C0035-ME,C0012-AUTO,C0039-AUTO,C0035-ME,C0016-IC,C0050-IC,C0001-IC,C0030-ME
E0083,C0030-EE,C0021-EE,C0006-EC,C0027-EC,C0025-EC,C0014-EC,C0015-EC,C0048-EC,C0045-EE,C0022-EC
E0084,C0011-IT,C0038-CSE,C0041-CSE,C0050-IT,C0035-IT,C0029-CSE,C0039-CSE,C0043-IT,C0024-IT,C0025-IT
E0085,C0026-EE,C0029-EE,C0026-EE,C0027-EC,C0037-EC,C0013-EE,C0013-EC,C0023-EE,C0027-EC,C0009-EE
E0086,C0039-EE,C0042-EE,C0024-EE,C0007-EE,C0030-EE,C0007-EE,C0016-EC,C0042-EC,C0038-EC,C0003-EE
E0087,C0034-ME,C0015-AUTO,C0043-ME,C0018-ME,C0014-IC,C0001-IC,C0029-ME,C0035-IC,C0017-AUTO,C0040-IC
E0088,C0022-IT,C0050-CSE,C0028-CSE,C0032-IT,C0035-IT,C0020-CSE,C0014-CSE,C0008-IT,C0033-CSE,C0025-IT
E0089,C0022-IC,C0023-ME,C0029-ME,C0018-AUTO,C0033-IC,C0034-ME,C0013-IC,C0015-AUTO,C0002-AUTO,C0024-ME
E0090,C0006-AUTO,C0032-ME,C0044-ME,C0003-ME,C0017-ME,C0035-IC,C0015-ME,C0040-IC,C0016-AUTO,C0048-IC
E0091,C0050-CH,C0019-CH,C0043-CIVIL,C0035-CH,C0044-CIVIL,C0041-CH,C0019-CIVIL,C0044-CH,C0005-CH,C0025-CIVIL
E0092,C0005-CIVIL,C0050-CH,C0013-CH,C0008-CH,C0016-CIVIL,C0023-CIVIL,C0005-CIVIL,C0005-CIVIL,C0014-CIVIL,C0006-CH
E0093,C0028-IT,C0007-IT,C0033-IT,C0008-CSE,C0011-IT,C0018-CSE,C0011-CSE,C0042-CSE,C0013-CSE,C0027-IT
E0094,C0014-EC,C0007-EE,C0012-EC,C0011-EC,C0006-EC,C0016-EE,C0009-EE,C0024-EE,C0027-EC,C0010-EE
E0095,C0007-EC,C0008-EC,C0007-EC,C0003-EC,C0007-EC,C0023-EE,C0001-EC,C0028-EC,C0004-EE,C0015-EE
E0096,C0002-CIVIL,C0005-CH,C0022-CH,C0022-CH,C0012-CH,C0045-CH,C0005-CH,C0037-CIVIL,C0041-CH,C0050-CH
E0097,C0005-CH,C0046-CIVIL,C0039-CH,C0050-CH,C0004-CH,C0003-CH,C0035-CH,C0034-CIVIL,C0035-CH,C0004-CIVIL
E0098,C0042-EE,C0003-EC,C0009-EC,C0007-EC,C0027-EC,C0032-EE,C0020-EE,C0039-EE,C0032-EC,C0012-EE
E0099,C0050-IC,C0035-IC,C0025-AUTO,C0025-AUTO,C0003-ME,C0029-ME,C0029-ME,C0026-ME,C0034-AUTO,C0036-ME
E0100,C0015-IT,C0010-IT,C0004-CSE,C0004-CSE,C0033-IT,C0042-CSE,C0046-IT,C0036-IT,C0010-CSE,C0049-CSE
E0101,C0012-EC,C0050-EE,C0001-EC,C0001-EC,C0043-EC,C0035-EC,C0040-EC,C0011-EC,C0034-EE,C0024-EE
E0102,C0021-IT,C0032-IT,C0021-IT,C0010-CSE,C0001-IT,C0005-CSE,C0045-IT,C0019-CSE,C0020-CSE,C0010-IT
E0103,C0034-CIVIL,C0009-CIVIL,C0033-CIVIL,C0008-CH,C0023-CH,C0017-CH,C0008-CH,C0027-CIVIL,C0032-CIVIL,C0008-CIVIL
E0104,C0017-EC,C0043-EE,C0043-EE,C0004-EE,C0041-EC,C0043-EC,C0050-EC,C0041-EC,C0040-EE,C0028-EC
E0105,C0018-EC,C0024-EE,C0050-EC,C0040-EC,C0048-EC,C0031-EC,C0046-EC,C0037-EE,C0030-EE,C0039-EE
E0106,C0007-CSE,C0004-CSE,C0048-IT,C0028-CSE,C0034-CSE,C0036-IT,C0019-CSE,C0010-CSE,C0020-CSE,C0006-IT
E0107,C0006-CH,C0013-CH,C0023-CIVIL,C0049-CH,C0015-CIVIL,C0021-CH,C0030-CH,C0003-CH,C0027-CIVIL,C0049-CIVIL
E0108,C0006-ME,C0016-IC,C0050-IC,C0049-IC,C0007-IC,C0008-IC,C0050-AUTO,C0035-IC,C0022-ME,C0018-ME
E0109,C0009-EC,C0037-EC,C0050-EC,C0046-EC,C0008-EC,C0040-EC,C0036-EE,C0009-EC,C0048-EC,C0018-EE
E0110,C0011-CH,C0036-CIVIL,C0008-CH,C0007-CIVIL,C0005-CIVIL,C0022-CH,C0025-CH,C0025-CIVIL,C0031-CH,C0021-CIVIL
E0111,C0036-CH,C0031-CIVIL,C0018-CH,C0002-CIVIL,C0037-CIVIL,C0017-CH,C0018-CIVIL,C0015-CIVIL,C0013-CIVIL,C0021-CIVIL
E0112,C0009-EC,C0050-EC,C0049-EC,C0012-EC,C0030-EC,C0032-EC,C0049-EE,C0042-EE,C0015-EC,C0016-EE
E0113,C0007-IT,C0041-CSE,C0028-CSE,C0047-CSE,C0047-CSE,C0005-CSE,C0028-CSE,C0022-IT,C0011-IT,C0045-IT
E0114,C0002-AUTO,C0035-ME,C0039-AUTO,C0017-ME,C0047-IC,C0048-IC,C0031-IC,C0002-IC,C0012-IC,C0002-AUTO
E0115,C0029-CH,C0035-CH,C0048-CH,C0030-CH,C0035-CH,C0024-CH,C0043-CIVIL,C0044-CIVIL,C0013-CH,C0006-CIVIL
E0116,C0039-IT,C0017-IT,C0042-CSE,C0038-CSE,C0032-IT,C0040-IT,C0037-CSE,C0016-IT,C0008-CSE,C0049-CSE
E0117,C0043-EE,C0046-EC,C0021-EE,C0027-EE,C0017-EC,C0044-EE,C0046-EC,C0014-EC,C0039-EE,C0018-EC
E0118,C0012-CH,C0016-CIVIL,C0042-CIVIL,C0045-CIVIL,C0025-CH,C0020-CH,C0045-CIVIL,C0036-CH,C0022-CH,C0044-CIVIL
E0119,C0009-AUTO,C0005-IC,C0039-ME,C0049-IC,C0048-ME,C0025-AUTO,C0047-AUTO,C0039-ME,C0025-AUTO,C0007-AUTO
E0120,C0037-CSE,C0024-CSE,C0038-CSE,C0041-CSE,C0039-IT,C0029-IT,C0025-IT,C0011-CSE,C0008-IT,C0028-CSE
E0121,C0015-IT,C0010-CSE,C0030-IT,C0020-CSE,C0004-CSE,C0011-CSE,C0042-IT,C0012-CSE,C0012-CSE,C0043-IT
E0122,C0032-EC,C0035-EC,C0013-EE,C0002-EE,C0003-EE,C0031-EC,C0041-EE,C0038-EE,C0012-EE,C0038-EC
E0123,C0024-AUTO,C0041-AUTO,C0047-IC,C0048-ME,C0021-AUTO,C0038-AUTO,C0042-ME,C0014-AUTO,C0030-AUTO,C0036-ME
E0124,C0025-EE,C0011-EC,C0003-EC,C0028-EC,C0012-EE,C0038-EE,C0031-EC,C0050-EC,C0025-EC,C0030-EE
E0125,C0023-ME,C0011-IC,C0047-AUTO,C0034-ME,C0035-AUTO,C0042-IC,C0014-AUTO,C0008-IC,C0013-ME,C0030-AUTO
E0126,C0049-ME,C0028-ME,C0037-AUTO,C0015-ME,C0016-IC,C0006-ME,C0013-ME,C0015-AUTO,C0017-AUTO,C0010-AUTO
E0127,C0040-IT,C0026-IT,C0039-IT,C0040-IT,C0021-IT,C0008-CSE,C0041-CSE,C0006-IT,C0001-CSE,C0011-IT
E0128,C0028-CSE,C0037-CSE,C0003-CSE,C0030-IT,C0020-CSE,C0034-CSE,C0011-CSE,C0011-IT,C0028-IT,C0046-IT
E0129,C0005-CIVIL,C0011-CH,C0034-CIVIL,C0026-CH,C0034-CIVIL,C0033-CIVIL,C0050-CIVIL,C0046-CIVIL,C0002-CIVIL,C0012-CH
E0130,C0004-IT,C0050-IT,C0030-CSE,C0043-IT,C0020-CSE,C0016-IT,C0011-CSE,C0030-CSE,C0049-IT,C0032-IT
E0131,C0050-IC,C0013-ME,C0016-IC,C0034-ME,C0019-IC,C0046-AUTO,C0008-ME,C0026-AUTO,C0012-IC,C0035-ME
E0132,C0050-EC,C0042-EE,C0011-EE,C0008-EC,C0015-EE,C0050-EC,C0050-EE,C0011-EE,C0034-EC,C0007-EE
E0133,C0047-AUTO,C0045-IC,C0036-AUTO,C0040-ME,C0007-IC,C0021-IC,C0042-ME,C0027-IC,C0023-ME,C0043-AUTO
E0134,C0021-CH,C0041-CIVIL,C0004-CIVIL,C0037-CIVIL,C0020-CIVIL,C0045-CIVIL,C0041-CH,C0006-CIVIL,C0030-CH,C0023-CH
E0135,C0046-CIVIL,C0033-CIVIL,C0036-CIVIL,C0006-CH,C0027-CIVIL,C0038-CH,C0044-CH,C0029-CH,C0002-CIVIL,C0008-CH
E0136,C0025-CH,C0042-CIVIL,C0020-CH,C0004-CIVIL,C0008-CH,C0005-CH,C0012-CIVIL,C0009-CH,C0001-CIVIL,C0018-CIVIL
E0137,C0030-AUTO,C0030-IC,C0014-AUTO,C0015-AUTO,C0033-AUTO,C0031-IC,C0010-AUTO,C0027-IC,C0018-ME,C0044-AUTO
E0138,C0001-CSE,C0038-CSE,C0007-IT,C0024-CSE,C0027-IT,C0032-CSE,C0007-CSE,C0022-CSE,C0032-CSE,C0032-CSE
E0139,C0012-EC,C0025-EC,C0011-EC,C0047-EE,C0049-EC,C0049-EC,C0043-EC,C0044-EE,C0003-EC,C0043-EC
E0140,C0045-CH,C0001-CIVIL,C0026-CIVIL,C0011-CH,C0033-CH,C0036-CIVIL,C0038-CH,C0017-CH,C0024-CIVIL,C0035-CH
E0141,C0005-AUTO,C0047-IC,C0010-AUTO,C0010-IC,C0047-AUTO,C0010-AUTO,C0018-ME,C0005-AUTO,C0022-ME,C0032-AUTO
E0142,C0018-ME,C0013-ME,C0040-ME,C0032-ME,C0022-ME,C0045-IC,C0022-IC,C0044-AUTO,C0025-ME,C0039-ME
E0143,C0025-CH,C0046-CIVIL,C0023-CH,C0043-CIVIL,C0022-CH,C0018-CH,C0036-CIVIL,C0033-CH,C0012-CIVIL,C0031-CH
E0144,C0050-IT,C0008-IT,C0036-CSE,C0050-CSE,C0002-IT,C0038-IT,C0036-CSE,C0035-IT,C0024-CSE,C0009-CSE
E0145,C0013-AUTO,C0049-ME,C0005-IC,C0016-ME,C0040-ME,C0044-IC,C0042-IC,C0015-AUTO,C0012-IC,C0019-IC
E0146,C0004-CIVIL,C0014-CIVIL,C0033-CH,C0018-CIVIL,C0024-CH,C0040-CH,C0013-CIVIL,C0049-CH,C0036-CIVIL,C0042-CH
E0147,C0030-AUTO,C0008-ME,C0023-ME,C0017-IC,C0038-AUTO,C0040-ME,C0045-ME,C0009-AUTO,C0050-ME,C0011-IC
E0148,C0003-CH,C0045-CH,C0019-CH,C0023-CH,C0042-CIVIL,C0030-CIVIL,C0012-CIVIL,C0020-CH,C0045-CH,C0046-CH
E0149,C0040-CIVIL,C0023-CH,C0015-CIVIL,C0003-CIVIL,C0025-CIVIL,C0017-CIVIL,C0007-CIVIL,C0036-CIVIL,C0033-CH,C0038-CIVIL
E0150,C0025-IT,C0036-IT,C0021-CSE,C0018-CSE,C0001-CSE,C0031-IT,C0010-CSE,C0025-IT,C0046-IT,C0021-CSE
E0151,C0039-IC,C0043-ME,C0044-ME,C0035-IC,C0011-IC,C0040-IC,C0040-ME,C0034-IC,C0015-IC,C0025-AUTO
E0152,C0025-IT,C0048-IT,C0021-IT,C0019-CSE,C0024-IT,C0008-CSE,C0008-IT,C0018-IT,C0019-IT,C0027-IT
E0153,C0017-CH,C0040-CIVIL,C0040-CIVIL,C0010-CIVIL,C0013-CIVIL,C0048-CIVIL,C0045-CIVIL,C0019-CIVIL,C0048-CH,C0004-CH
E0154,C0010-IT,C0047-CSE,C0018-CSE,C0019-IT,C0047-CSE,C0050-CSE,C0025-IT,C0006-IT,C0040-CSE,C0050-IT
E0155,C0041-EC,C0039-EC,C0028-EC,C0006-EC,C0020-EE,C0035-EC,C0031-EC,C0043-EE,C0040-EE,C0009-EC
E0156,C0048-EC,C0029-EE,C0018-EC,C0033-EC,C0015-EC,C0009-EC,C0015-EC,C0030-EE,C0011-EE,C0048-EC
E0157,C0019-CH,C0006-CIVIL,C0026-CIVIL,C0020-CH,C0038-CH,C0025-CIVIL,C0019-CIVIL,C0029-CH,C0023-CH,C0031-CIVIL
E0158,C0021-ME,C0034-IC,C0038-AUTO,C0030-AUTO,C0022-ME,C0031-ME,C0023-ME,C0035-IC,C0008-ME,C0007-IC
E0159,C0029-IT,C0004-CSE,C0034-IT,C0028-IT,C0001-IT,C0026-IT,C0012-IT,C0047-CSE,C0034-CSE,C0040-CSE
E0160,C0033-CIVIL,C0038-CH,C0036-CH,C0010-CIVIL,C0026-CH,C0024-CH,C0024-CIVIL,C0030-CIVIL,C0038-CH,C0025-CH
E0161,C0043-CSE,C0047-CSE,C0024-CSE,C0019-IT,C0017-IT,C0032-CSE,C0003-CSE,C0020-CSE,C0042-CSE,C0048-IT
E0162,C0038-CSE,C0039-CSE,C0011-CSE,C0006-CSE,C0002-IT,C0031-IT,C0012-IT,C0005-IT,C0021-IT,C0046-IT
E0163,C0037-IT,C0015-IT,C0012-CSE,C0009-IT,C0005-IT,C0040-CSE,C0018-CSE,C0033-IT,C0045-IT,C0010-IT
E0164,C0045-CIVIL,C0040-CH,C0048-CIVIL,C0049-CIVIL,C0045-CH,C0040-CH,C0016-CIVIL,C0042-CIVIL,C0027-CIVIL,C0049-CH
E0165,C0007-EE,C0041-EE,C0015-EE,C0012-EC,C0037-EC,C0022-EC,C0047-EE,C0005-EE,C0029-EE,C0008-EC
E0166,C0009-CSE,C0003-IT,C0021-IT,C0018-CSE,C0028-IT,C0025-IT,C0012-IT,C0050-IT,C0050-CSE,C0050-CSE
E0167,C0049-CIVIL,C0038-CH,C0005-CIVIL,C0042-CH,C0011-CH,C0036-CH,C0006-CIVIL,C0010-CH,C0029-CH,C0042-CH
E0168,C0017-CH,C0019-CH,C0020-CH,C0017-CH,C0017-CIVIL,C0020-CH,C0039-CH,C0046-CH,C0033-CIVIL,C0048-CH
E0169,C0006-ME,C0042-AUTO,C0043-ME,C0048-IC,C0013-AUTO,C0029-IC,C0034-ME,C0039-AUTO,C0023-AUTO,C0041-ME
E0170,C0032-AUTO,C0046-AUTO,C0034-AUTO,C0040-IC,C0044-AUTO,C0035-IC,C0023-AUTO,C0035-IC,C0021-AUTO,C0046-ME
E0171,C0004-CIVIL,C0036-CIVIL,C0010-CIVIL,C0026-CIVIL,C0032-CIVIL,C0022-CH,C0045-CIVIL,C0039-CH,C0013-CH,C0011-CH
E0172,C0046-IT,C0013-CSE,C0019-IT,C0024-CSE,C0012-IT,C0008-CSE,C0014-CSE,C0024-IT,C0014-CSE,C0007-CSE
